"","vocab_app","sort.freq_vocab..decreasing...TRUE.","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","word_attribute_sorted"
"76","process",94,1.85252409816371e-06,0.00421830747201763,0.000575252668181171,0.00650649694679622,0.00225194518241099,0.000429527133542265,0.000967215540211564,0.00331980794011797,0.00184757049344885,0.00122551466985348,0.00125060701912111,4
"77","call",93,0.00215120151485407,0.00149500496705833,0.0013317698810763,0.00384732120599238,0.000238082571269301,5.93162141825292e-08,0.00174445468898272,0.00240150216261297,0.00374156356139621,0.000303974584921432,0.00538853777138829,11
"78","idea",92,0.00041225900737368,0.00168692901057851,0.000437160586016791,0.00191070644897262,0.00250998715234478,0.00111169317475552,0.000288024484148567,0.00100916188377665,0.00383616762467346,0.00347841347792207,0.00260229516593046,9
"79","propose",92,0.00167233512013506,0.00264148518323839,0.000647917499739973,0.000218559767819804,0.00324770434243025,0.00119065696051742,1.89462270908048e-35,0.00114732438708457,0.00332776070766128,0.00104550849178734,0.000713672764105491,9
"80","community",91,0.00660766077814373,0.00194690911635914,0.00391183867566275,3.207464722191e-59,6.24758081076747e-12,1.05567378616117e-37,0.000301407807776699,0.0121279038549968,0.00020971357814224,0.00760875349888727,0.000978051628914038,8
"81","suggest",90,0.00298166985386621,0.00195251505736527,0.0018939565600348,0.000602637280507669,0.00146131061862367,0.00112884779858929,0.00153638936300439,0.0031064898289161,0.000802699373980365,0.00280859843085731,0.0017679835944328,8
"82","case",89,0.00447930440393934,0.00312855812652053,0.00086633926494422,0.000792381565411301,0.00319086253381766,0.00192092281739353,0.000858547346114872,0.00649472126863764,0.000222276820608427,0.00081917196935617,0.000394296921770069,8
"83","time",89,0.00244455940135562,0.0014230516120929,0.0064363416720075,0.00160015683165676,0.000306209742591634,0.000508441122243998,0.00229240993915088,0.000697001723258846,1.9305244477448e-07,0.00522738043300201,0.00506117717077415,3
"84","capitalist",88,0.000655278292245784,0.000214455785196556,0.000172550285294955,0.00886080229711062,2.50263329020264e-31,0.00166526953961276,0.00118682819340421,0.00245888899268708,0.00776965485750717,0.00335281162564271,0.00113081107791116,4
"85","socio",88,5.55706218273612e-46,0.00574284633183117,8.86923801198195e-50,0.000514334419047091,0.000905292571177396,0.00231398686175726,0.00351598417318004,0.00058130074560898,0.00393836020960592,0.000235966592119313,0.000302161321589399,2
"86","energy",87,2.4161762005183e-93,9.51515601404962e-26,0.00575057561975173,0.00410576390062737,0.0146206940534249,3.16617377058509e-23,0.00959717869982542,1.01318495368545e-23,6.51356123887678e-43,0.000188699120961239,0.00153784984847797,5
"87","form",87,0.000343850738701766,0.00221226662013409,0.0014206887700588,0.00269480645149553,1.23111782086964e-12,0.00123829918327223,0.000843857368081159,0.00629210426930301,0.00285832339372679,0.00176761685332452,0.000880330138120588,8
"88","lead",87,0.00122433423024725,0.00293029866015901,0.00179815170246085,0.00202513749407118,0.000785446194250694,0.000856339253763295,0.00313256901253108,0.00155677130558107,0.000798467645393931,0.0029058497429231,0.0018061182651956,7
"89","literature",87,0.00150551399006075,0.00456190304415584,0.000143934235135378,0.000366017514312837,0.00418737292146654,0.00164893531544414,0.000299963925267603,0.000924038443762984,0.000932381183167088,2.82775182040311e-30,0.000961584716224537,2
"90","reduce",85,0.0013294484332395,0.00087658739013857,0.00507289318399917,0.000968964467106327,0.0031119370993953,1.35091441967292e-36,0.00497492165482978,0.000470528340744405,0.000383790762615421,2.35435252025787e-18,0.000629287678781984,3
"91","framework",84,4.06518200429925e-13,0.00392475406198029,1.18448358924068e-05,1.76009363824669e-44,0.00546177885511378,0.00118560311071334,0.00261344850240149,0.00184078925102146,0.00192863668801885,0.0012038138615746,7.29938923317442e-56,5
"92","level",84,0.00223804325246628,0.00377866591833051,0.00283037224733481,0.00193965595984356,0.00252872361185165,0.000646791401643092,0.0045541989592223,0.000610981087361294,6.90988518822721e-08,0.00101020562296655,0.000210983039976378,7
"93","issue",83,0.00313193029973938,0.00129027285685297,0.000602474530739258,0.00298519211296129,0.00200383570877744,0.00124870611925711,0.000317008313375664,0.000755187938241887,0.00155822147451205,0.00159821584657943,0.00108222922385316,1
